Symbol,Name,NSE Code,BSE Code,Close Price,Volume,Screener Count,High Conviction
IPCALAB,Ipca Laboratories Limited,IPCALAB,524494,1485.4,408095,1,No
JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD,533155,533.1,1514289,1,No
KIMS,Krishna Institute of Medical Sciences Ltd,KIMS,543307,687.2,585237,1,No
LICI,Life Insurance Corporation of India,LICI,543526,862.4,875027,1,No
LINDEINDIA,Linde India Limited,LINDEINDIA,523457,6900.0,404286,1,No
LMW,LMW Ltd,LMW,500252,15177.0,2436,1,No
LODHA,Lodha Developers Ltd,LODHA,543287,1073.6,1795630,1,No
LT,Larsen & Toubro Limited,LT,500510,4173.9,2234376,1,No
LTFOODS,L T Foods Ltd,LTFOODS,532783,434.8,1145234,1,No
MANAPPURAM,Manappuram Finance Limited,MANAPPURAM,531213,302.65,4916102,1,No
MAXHEALTH,Max Healthcare Institute Ltd,MAXHEALTH,543220,1053.6,2745794,1,No
MRF,Mrf Limited,MRF,500290,150105.0,7131,1,No
NATIONALUM,National Aluminium Company Limited,NATIONALUM,532234,349.3,10586115,1,No
NTPCGREEN,NTPC Green Energy Ltd,NTPCGREEN,544289,89.01,2357251,1,No
PAGEIND,Page Industries Limited,PAGEIND,532827,33530.0,15457,1,No
PGEL,Pg Electroplast Limited,PGEL,533581,615.45,1419692,1,No
PIDILITIND,Pidilite Industries Limited,PIDILITIND,500331,1479.3,474002,1,No
POLYCAB,Polycab India Ltd,POLYCAB,542652,7587.5,160046,1,No
PTCIL,PTC Industries Ltd,PTCIL,539006,18384.0,20174,1,No
RBLBANK,Rbl Bank Limited,RBLBANK,540065,313.8,3835217,1,No
SAILIFE,Sai Life Sciences Ltd,SAILIFE,544306,914.85,397583,1,No
SBILIFE,SBI Life Insurance Company Ltd,SBILIFE,540719,2034.2,1240712,1,No
SCHNEIDER,Schneider Electric Infrastructure Limited,SCHNEIDER,534139,811.7,1741823,1,No
SHREECEM,Shree Cements Limited,SHREECEM,500387,26130.0,27809,1,No
SHYAMMETL,Shyam Metalics & Energy Ltd,SHYAMMETL,543299,879.45,132098,1,No
SOLARINDS,Solar Industries India Limited,SOLARINDS,532725,13043.0,90669,1,No
SUNTV,Sun Tv Network Limited,SUNTV,532733,576.4,184928,1,No
SUPREMEIND,Supreme Industries Limited,SUPREMEIND,509930,3774.9,82044,1,No
TATAPOWER,Tata Power Company Limited,TATAPOWER,500400,374.1,4441440,1,No
TIINDIA,Tube Investments of India Ltd,TIINDIA,540762,2498.6,315365,1,No
TIMKEN,Timken India Limited,TIMKEN,522113,3062.8,12452,1,No
TMPV,Tata Motors Passenger Vehicles Ltd,TMPV,500570,380.25,15565868,1,No
TRENT,Trent Limited,TRENT,500251,4252.0,665095,1,No
TVSHLTD,TVS Holdings Ltd,TVSHLTD,520056,15044.0,7355,1,No
TVSMOTOR,Tvs Motor Company Limited,TVSMOTOR,532343,3864.6,260604,1,No
UNITDSPR,United Spirits Ltd,UNITDSPR,532432,1402.4,383577,1,No
WAAREEENER,Waaree Energies Ltd,WAAREEENER,544277,3096.2,640524,1,No
ZYDUSLIFE,Zydus Lifesciences Ltd,ZYDUSLIFE,532321,904.7,474515,1,No
